web-scraper-order,web-scraper-start-url,link,link-href,details,etat,adresse,prix,image_lien-src
"1708076011-1","https://www.expat-dakar.com/climatisation?page=50","VENTILATEUR INDUSTRIEL SMART TECHNOLOGY 2601C
Neuf
Plateau,
Dakar

9. nov. '23, 17:26

49 000 F Cfa

777510319

777510319","https://www.expat-dakar.com/annonce/ventilateur-industriel-smart-technology-2601c-5786846","VENTILATEUR INDUSTRIEL SMART TECHNOLOGY 2601C","Neuf","Plateau

Dakar","49 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/47d7ae9cb1451014b9723ee9fb898b39/-/horizon-files-prod/ed/picture/qv4prxgx/023d783547b5aa111cf27a684b22d7c98660fa5f.jpg"
"1708076014-2","https://www.expat-dakar.com/climatisation?page=50","VENTILATEUR INDUSTRIEL SMART TECHNOLOGY SUR PIED 3001C
Neuf
Plateau,
Dakar

9. nov. '23, 17:36

52 000 F Cfa

776096472

776096472","https://www.expat-dakar.com/annonce/ventilateur-industriel-smart-technology-sur-pied-3001c-5786863","VENTILATEUR INDUSTRIEL SMART TECHNOLOGY SUR PIED 3001C","Neuf","Plateau

Dakar","52 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a7b82924996f29a1bbce6539026c4d6c/-/horizon-files-prod/ed/picture/q564nvrp/73a93716bd0b1ec0da6056b0a9c884fe9a6727ee.jpg"
"1708076017-3","https://www.expat-dakar.com/climatisation?page=50","VENTILATEUR MURAL AVEC COMMANDE SMART TECHNOLOGY 1654W
Neuf
Plateau,
Dakar

9. nov. '23, 17:26

22 500 F Cfa

776862827","https://www.expat-dakar.com/annonce/ventilateur-mural-avec-commande-smart-technology-1654w-5786873","VENTILATEUR MURAL AVEC COMMANDE SMART TECHNOLOGY 1654W","Neuf","Plateau

Dakar","22 500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cd03afc0046ea85a5ebfa1b5c3d9f045/-/horizon-files-prod/ed/picture/qq4dngwn/ff6f310ba197c0a166f587608b13247facc5ad39.jpg"
"1708076021-4","https://www.expat-dakar.com/climatisation?page=50","VENTILATEUR 20POUCES SMART TECHNOLOGY SUR PIED 1840c
Neuf
Plateau,
Dakar

4. nov. '23, 02:53

24 500 F Cfa

781066640

781066640","https://www.expat-dakar.com/annonce/ventilateur-20pouces-smart-technology-sur-pied-1840c-5786877","VENTILATEUR 20POUCES SMART TECHNOLOGY SUR PIED 1840c","Neuf","Plateau

Dakar","24 500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f6dc2749f4cb2aad2137e8eca8255259/-/horizon-files-prod/ed/picture/qxj6mxw0/64a734b4a79667ba1287e83c334fb40b40f3e3d4.jpg"
"1708076024-5","https://www.expat-dakar.com/climatisation?page=50","SPLIT 18000BTU 2.5CV SMART TECHNOLOGY R410
Neuf
Plateau,
Dakar

6. nov. '23, 17:38

229 000 F Cfa

774714823","https://www.expat-dakar.com/annonce/split-18000btu-25cv-smart-technology-r410-5786018","SPLIT 18000BTU 2.5CV SMART TECHNOLOGY R410","Neuf","Plateau

Dakar","229 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/58e31f16b9a870f6d4a38f377eec8fd9/-/horizon-files-prod/ed/picture/qdewq2j8/2153d32277f48b79f2efe3d325a0a38dda47b892.jpg"
"1708076027-6","https://www.expat-dakar.com/climatisation?page=50","SPLIT 1.5CV SMART 12000BTU R410 A++
Neuf
Plateau,
Dakar

9. nov. '23, 18:37

159 000 F Cfa

783860578","https://www.expat-dakar.com/annonce/split-15cv-smart-12000btu-r410-a-5787192","SPLIT 1.5CV SMART 12000BTU R410 A++","Neuf","Plateau

Dakar","159 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3c57be07de3847d69e031843a703e504/-/horizon-files-prod/ed/picture/q9m8zd0j/245d452a63feff9cb427b2ae423928195ba38778.jpg"
"1708076031-7","https://www.expat-dakar.com/climatisation?page=50","SPLIT 1CV 9000BTU SMART TECHNOLOGY R410 A++
Neuf
Plateau,
Dakar

9. nov. '23, 18:37

145 000 F Cfa

768882180","https://www.expat-dakar.com/annonce/split-1cv-9000btu-smart-technology-r410-a-5787198","SPLIT 1CV 9000BTU SMART TECHNOLOGY R410 A++","Neuf","Plateau

Dakar","145 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0ae53c0d724adce9f198b83345bf8e18/-/horizon-files-prod/ed/picture/qrzqw025/181f16c63c02ae36fd7ad686a473f044cd06c80c.jpg"
"1708076033-8","https://www.expat-dakar.com/climatisation?page=50","SPLIT 1CV 9000BTU SMART TECHNOLOGY R410
Neuf
Plateau,
Dakar

9. nov. '23, 18:27

145 000 F Cfa

770723466","https://www.expat-dakar.com/annonce/split-1cv-9000btu-smart-technology-r410-5787199","SPLIT 1CV 9000BTU SMART TECHNOLOGY R410","Neuf","Plateau

Dakar","145 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/834cb3e6f5e8ffa4c241cc562bf03bbf/-/horizon-files-prod/ed/picture/qxj6mzdz/71c034c6e39bb4a24f8c3191ea8c90b097e43149.jpg"
"1708076036-9","https://www.expat-dakar.com/climatisation?page=50","SPLIT 1.5CV 12000BTU SMART TECHNOLOGY R410
Neuf
Plateau,
Dakar

9. nov. '23, 18:26

159 000 F Cfa

784626090

784626090","https://www.expat-dakar.com/annonce/split-15cv-12000btu-smart-technology-r410-5787202","SPLIT 1.5CV 12000BTU SMART TECHNOLOGY R410","Neuf","Plateau

Dakar","159 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9f6f93a07eb6c95b37086b69e9218754/-/horizon-files-prod/ed/picture/qv4prqmv/d49de603ac6e8851e762bfe9df633c85ae4201bc.jpg"
"1708076040-10","https://www.expat-dakar.com/climatisation?page=50","SPLIT 1CV 9000BTU SMART TECHNOLOGY R410
Neuf
Plateau,
Dakar

9. nov. '23, 17:25

145 000 F Cfa

777510319

777510319","https://www.expat-dakar.com/annonce/split-1cv-9000btu-smart-technology-r410-5787206","SPLIT 1CV 9000BTU SMART TECHNOLOGY R410","Neuf","Plateau

Dakar","145 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/09d9f8c0c3a7ef0246c7347aaf15e5a5/-/horizon-files-prod/ed/picture/qwezx8m4/0c09f0001610850d4c858c4c355c1d3de16a8f1b.jpg"
