web-scraper-order,web-scraper-start-url,link,link-href,details,etat,adresse,prix,image_lien-src
"1708080337-1","https://www.expat-dakar.com/machines-a-laver?page=40","MACHINE A LAVER LG-7KG LAVAGE/4 KG SECHAGE-SILVER–A+++
Neuf
Ouakam,
Dakar

11. janv., 19:23

419 900 F Cfa

775506161

776571934

775506161","https://www.expat-dakar.com/annonce/machine-a-laver-lg-7kg-lavage4-kg-sechage-silver-a-2766745","MACHINE A LAVER LG-7KG LAVAGE/4 KG SECHAGE-SILVER–A+++","Neuf","Ouakam

Dakar","419 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2a27e59ed0e6e1608fb265900422911b/-/horizon-files-prod/ed/picture/migrated/q6nvwkg/ce27cac470530dbcbb339b1d213fdd8840853504.jpg"
"1708080340-2","https://www.expat-dakar.com/machines-a-laver?page=40","SECHE LINGE SHARP - 7KG - OUVERTURE HUBLOT 15 P
Neuf
Ouakam,
Dakar

11. janv., 19:19

199 000 F Cfa

775506161

776571934

775506161","https://www.expat-dakar.com/annonce/seche-linge-sharp-7kg-ouverture-hublot-15-p-2766985","SECHE LINGE SHARP - 7KG - OUVERTURE HUBLOT 15 P","Neuf","Ouakam

Dakar","199 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/00a8aa67e70d642353c9cf98115711a3/-/horizon-files-prod/ed/picture/migrated/q27n48v/3f2f611b9d68be9325301bc83a7babbc9ba56f1a.jpg"
"1708080343-3","https://www.expat-dakar.com/machines-a-laver?page=40","LAVE-LINGE SAMSUNG - ADDWASH™ 9KG - WW90T654D
Neuf
Ouakam,
Dakar

6. janv., 16:19

419 000 F Cfa

775506161

776571934

775506161","https://www.expat-dakar.com/annonce/lave-linge-samsung-addwash-9kg-ww90t654d-4089816","LAVE-LINGE SAMSUNG - ADDWASH™ 9KG - WW90T654D","Neuf","Ouakam

Dakar","419 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0de99297850c63cb81816699e9278dad/-/horizon-files-prod/ed/picture/qpe2wp4/3dfcf9cfc31d0531f599dd5c90d013147df75eef.jpg"
"1708080346-4","https://www.expat-dakar.com/machines-a-laver?page=40","MACHINE A LAVER BEKO 7KG A+++

Ouakam,
Dakar

5. mai '22, 11:10

Vendeur vérifié

219 900 F Cfa

770521414

709557473","https://www.expat-dakar.com/annonce/machine-a-laver-beko-7kg-a-2754717","MACHINE A LAVER BEKO 7KG A+++","","Ouakam

Dakar","219 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f2c6adf542a530d964709d74c89c2b71/-/horizon-files-prod/ed/picture/migrated/q7pd9dq/85d2e07d8856022cd5f71f56775840782c5a2219.jpg"
"1708080349-5","https://www.expat-dakar.com/machines-a-laver?page=40","Machine à laver 9 kg
Neuf
Sicap Liberté,
Dakar

24. juin '22, 09:39

Vendeur vérifié

249 000 F Cfa

778624545","https://www.expat-dakar.com/annonce/machine-a-laver-9-kg-4083320","Machine à laver 9 kg","Neuf","Sicap Liberté

Dakar","249 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/26f0e97dddcb7601d815ddcf0c410c31/-/horizon-files-prod/ed/picture/qeew2m2/f0dc8e420f4955e165783a81c0c0e8f87e15b094.jpg"
"1708080352-6","https://www.expat-dakar.com/machines-a-laver?page=40","MACHINE A LAVER LG 2 EN 1 20KG F0L2CRV2T2
Neuf
Plateau,
Dakar

26. déc. '23, 14:43

1 100 000 F Cfa

783181818

783088888","https://www.expat-dakar.com/annonce/machine-a-laver-lg-2-en-1-20kg-f0l2crv2t2-4893853","MACHINE A LAVER LG 2 EN 1 20KG F0L2CRV2T2","Neuf","Plateau

Dakar","1 100 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/971dafd21ddd0ed89958853e4745c059/-/horizon-files-prod/ed/picture/q4xz25z/00e9d28ba0e1b9c41cadc46387efd9b22d485f8d.png"
"1708080355-7","https://www.expat-dakar.com/machines-a-laver?page=40","MACHINE A LAVER LG 15KG / 8KG SECHANTE
Neuf
Plateau,
Dakar

26. déc. '23, 14:43

875 000 F Cfa

783181818

783088888","https://www.expat-dakar.com/annonce/machine-a-laver-lg-15kg-8kg-sechante-4893902","MACHINE A LAVER LG 15KG / 8KG SECHANTE","Neuf","Plateau

Dakar","875 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/49f574b600fe5e8187a1df25eeab98d5/-/horizon-files-prod/ed/picture/qv270kp/aa59e557c7cbf1a8328719042d7e8de61c7a7246.jpg"
"1708080358-8","https://www.expat-dakar.com/machines-a-laver?page=40","MACHINE A LAVER ROCH INVERTER 7KG
Neuf
Ouakam,
Dakar

16. août '22, 12:19

Vendeur vérifié

209 900 F Cfa

770521414

709557473","https://www.expat-dakar.com/annonce/machine-a-laver-roch-inverter-7kg-4966950","MACHINE A LAVER ROCH INVERTER 7KG","Neuf","Ouakam

Dakar","209 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9161cbe7657f69b429c34afac1edd462/-/horizon-files-prod/ed/picture/qwqpjgj/049987f0b3658b228d1c4bbb8db95ddf25e4bb24.jpg"
"1708080361-9","https://www.expat-dakar.com/machines-a-laver?page=40","MACHINE A LAVER ROCH INVERTER 9KG
Neuf
Ouakam,
Dakar

6. sept. '22, 12:41

Vendeur vérifié

259 900 F Cfa

770521414

709557473","https://www.expat-dakar.com/annonce/machine-a-laver-roch-inverter-9kg-4949691","MACHINE A LAVER ROCH INVERTER 9KG","Neuf","Ouakam

Dakar","259 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2d4ccff37a0fb54d069ae941e0e25e39/-/horizon-files-prod/ed/picture/q0m2rxm/f494e8643be6d49368746d08646c44994d8033a0.jpg"
"1708080364-10","https://www.expat-dakar.com/machines-a-laver?page=40","MACHINE A LAVER - CANDY – 8 KG – SMART TOUCH – A+++
Neuf
Ouakam,
Dakar

6. janv., 15:19

289 900 F Cfa

775506161

776571934

775506161","https://www.expat-dakar.com/annonce/machine-a-laver-candy-8-kg-smart-touch-a-5172480","MACHINE A LAVER - CANDY – 8 KG – SMART TOUCH – A+++","Neuf","Ouakam

Dakar","289 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c49431417f58a9a5d3049cd2c20e2de0/-/horizon-files-prod/ed/picture/qkrmrzwz/6f6d52b0f1bfce1997d97ff249d87b13a96493ea.jpg"
"1708080367-11","https://www.expat-dakar.com/machines-a-laver?page=40","VIP

Machine à Laver 7kg
Neuf
Mermoz,
Dakar

Aujourd'hui, 12:04

200 000 F Cfa

775747793","https://www.expat-dakar.com/annonce/machine-a-laver-7kg-6005601","Machine à Laver 7kg","Neuf","Mermoz

Dakar","200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/10f9197a7f793d9775433b9e223df6fb/-/horizon-files-prod/ed/picture/q7854vje/dac5a3d1fe322b5487b7309ea7245a5f0829945f.png"
"1708080374-12","https://www.expat-dakar.com/machines-a-laver?page=39","MACHINE A LAVER - HISENSE - 16 KG - TOP- LOAD
Neuf
Ouakam,
Dakar

6. janv., 15:17

389 000 F Cfa

775506161

776571934

775506161","https://www.expat-dakar.com/annonce/machine-a-laver-hisense-16-kg-top-load-5204162","MACHINE A LAVER - HISENSE - 16 KG - TOP- LOAD","Neuf","Ouakam

Dakar","389 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/463a9697471c5ea71a3b4484ef0aedb6/-/horizon-files-prod/ed/picture/qder7g28/3b9dd561fabfd3865fc4c9599226b159b33c1a0d.jpg"
"1708080377-13","https://www.expat-dakar.com/machines-a-laver?page=39","MACHINE A LAVER HISENSE 10.5KG TOP- LOAD
Neuf
Ouakam,
Dakar

6. janv., 14:40

299 000 F Cfa

775506161

776571934

775506161","https://www.expat-dakar.com/annonce/machine-a-laver-hisense-105kg-top-load-5204174","MACHINE A LAVER HISENSE 10.5KG TOP- LOAD","Neuf","Ouakam

Dakar","299 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c06a447353cc9b25dedc2adaf7733b4e/-/horizon-files-prod/ed/picture/q8v047g9/c6c9efa7401bd5b61a6c20b3b5dbab2c8ddf6398.jpg"
"1708080379-14","https://www.expat-dakar.com/machines-a-laver?page=39","Machine À Laver Semi - Automatique 7 - 8 - 9KG
Neuf
Point-e,
Dakar

27. déc. '23, 19:44

Vendeur vérifié

140 000 F Cfa

785821605","https://www.expat-dakar.com/annonce/machine-a-laver-semi-automatique-7-8-9kg-5306431","Machine À Laver Semi - Automatique 7 - 8 - 9KG","Neuf","Point-e

Dakar","140 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4b34c8f2bb3a2bc39ab0900c049d82cc/-/horizon-files-prod/ed/picture/q44jwr9p/ca6616c7bfd0161eec4f1f4623e6707f0fa294a2.jpg"
"1708080382-15","https://www.expat-dakar.com/machines-a-laver?page=39","HAIER SÉCHAGE + LAVAGE 10KG
Neuf
Point-e,
Dakar

10. déc. '22, 13:22

450 000 F Cfa

773506363","https://www.expat-dakar.com/annonce/haier-sechage-lavage-10kg-5046026","HAIER SÉCHAGE + LAVAGE 10KG","Neuf","Point-e

Dakar","450 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e928f7839e87ec056cc5259f9922fbe4/-/horizon-files-prod/ed/picture/q94dex7/e3d63b749cbef7a775b99978e384bf47c5cb0c9a.jpg"
"1708080385-16","https://www.expat-dakar.com/machines-a-laver?page=39","Support Frigo ;machine à laver,cuisinière..
Neuf
Liberte 6,
Dakar

11. janv., 13:20

12 500 F Cfa

770922410","https://www.expat-dakar.com/annonce/support-frigo-machine-a-lavercuisiniere-5324008","Support Frigo ;machine à laver,cuisinière..","Neuf","Liberte 6

Dakar","12 500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/938f4a1afdefacb2a3c8dae3b5bfd5eb/-/horizon-files-prod/ed/picture/q8v07009/0b5dde645afb2223667db303ecbebb3eb13e50ec.jpg"
