web-scraper-order,web-scraper-start-url,link,link-href,details,etat,adresse,prix,image_lien-src
"1708072473-1","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=50","RÉFRIGÉRATEUR 295L DAEWOO COMBINÉ 3TIROIRES
Neuf
Plateau,
Dakar

13. nov. '23, 18:07

279 000 F Cfa

774714823","https://www.expat-dakar.com/annonce/refrigerateur-295l-daewoo-combine-3tiroires-5935039","RÉFRIGÉRATEUR 295L DAEWOO COMBINÉ 3TIROIRES","Neuf","Plateau

Dakar","279 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4f0a7460f72f12ebf9f7505329f481e1/-/horizon-files-prod/ed/picture/q2jq8w5d/c2864bce0721ff873e02403d147d9b005a5e3855.jpg"
"1708072476-2","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=50","RÉFRIGÉRATEUR 280LITRES SHARP 2PORTES SILVER
Neuf
Plateau,
Dakar

13. nov. '23, 18:16

219 000 F Cfa

783050985","https://www.expat-dakar.com/annonce/refrigerateur-280litres-sharp-2portes-silver-5935048","RÉFRIGÉRATEUR 280LITRES SHARP 2PORTES SILVER","Neuf","Plateau

Dakar","219 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7de5aae371615f6197b4372bb9991d3d/-/horizon-files-prod/ed/picture/q9m9rnwp/26f35241da1bfa6eae3d876b75028f10094d34fc.jpg"
"1708072479-3","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=50","RÉFRIGÉRATEUR ROCH BAR 1PORTE SILVER
Neuf
Plateau,
Dakar

13. nov. '23, 18:33

78 000 F Cfa

783860578","https://www.expat-dakar.com/annonce/refrigerateur-roch-bar-1porte-silver-5935059","RÉFRIGÉRATEUR ROCH BAR 1PORTE SILVER","Neuf","Plateau

Dakar","78 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c12f489fc6284dea43b993265dd32240/-/horizon-files-prod/ed/picture/qj4r5xwz/e7eb4cc539142cc2f5153382366732082f33bd3a.jpg"
"1708072482-4","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=50","RÉFRIGÉRATEUR 525LITRES ROCH SIDE BY SIDE 4PORTES
Neuf
Plateau,
Dakar

13. nov. '23, 20:42

569 000 F Cfa

770723466","https://www.expat-dakar.com/annonce/refrigerateur-525litres-roch-side-by-side-4portes-5935062","RÉFRIGÉRATEUR 525LITRES ROCH SIDE BY SIDE 4PORTES","Neuf","Plateau

Dakar","569 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e060784ef73a623b2512e8bc8a1020e2/-/horizon-files-prod/ed/picture/qdekd26j/96eccd86470ee1ddc1f28af915467d090cea184b.jpg"
"1708072485-5","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=50","RÉFRIGÉRATEUR ROCH VERTICAL VITRINE
Neuf
Plateau,
Dakar

13. nov. '23, 19:12

259 000 F Cfa

783050985","https://www.expat-dakar.com/annonce/refrigerateur-roch-vertical-vitrine-5935076","RÉFRIGÉRATEUR ROCH VERTICAL VITRINE","Neuf","Plateau

Dakar","259 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/61ffac16a223350f6a036ea2ff6fe03e/-/horizon-files-prod/ed/picture/qrzv6j48/068a46a9b8b8f47d1bb1ddcb5fdb88c5b4fc2966.jpg"
"1708072488-6","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=50","Congélateur Astech ch 310
Neuf
Médina,
Dakar

28. nov. '23, 11:30

169 000 F Cfa

772046033","https://www.expat-dakar.com/annonce/congelateur-astech-ch-310-2745444","Congélateur Astech ch 310","Neuf","Médina

Dakar","169 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/567fea49e89bd790797054e780baf0aa/-/horizon-files-prod/ed/picture/q6mwpvg/db9ad8e92a610477477007eb5fa877d986f91c91.jpg"
"1708072491-7","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=50","CONGELATEUR HORIZONTAL COFFRE 120L FINIX BD(W)-120 GRIS
Neuf
Plateau,
Dakar

22. janv., 16:47

Vendeur vérifié

125 000 F Cfa

786374400","https://www.expat-dakar.com/annonce/congelateur-horizontal-coffre-120l-finix-bdw-120-gris-5828785","CONGELATEUR HORIZONTAL COFFRE 120L FINIX BD(W)-120 GRIS","Neuf","Plateau

Dakar","125 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9c9bc0fafee90a0938f9cca03bf1a869/-/horizon-files-prod/ed/picture/q564ezm0/8981010063d62e9ae4e7ff222aca1799f485749c.png"
"1708072494-8","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=50","FONTAINE SMART TECHNOLOGY AVEC RANGEMENT FROID/CHAUD
Neuf
Plateau,
Dakar

14. nov. '23, 22:14

63 000 F Cfa

783860578","https://www.expat-dakar.com/annonce/fontaine-smart-technology-avec-rangement-froidchaud-5936466","FONTAINE SMART TECHNOLOGY AVEC RANGEMENT FROID/CHAUD","Neuf","Plateau

Dakar","63 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6cd0a9474710f49369f3a522a971af29/-/horizon-files-prod/ed/picture/q6xkrm5v/e9a103fc3e7f746a210f0ade52fe98afa7cd47ac.jpg"
"1708072497-9","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=50","CONGELATEUR HORIZONTAL VITRINE 500L FINIX
Neuf
Plateau,
Dakar

15. nov. '23, 13:18

Vendeur vérifié

330 000 F Cfa

786374400","https://www.expat-dakar.com/annonce/congelateur-horizontal-vitrine-500l-finix-5489369","CONGELATEUR HORIZONTAL VITRINE 500L FINIX","Neuf","Plateau

Dakar","330 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8353a3293d31b04f4a9e1d39d4229e20/-/horizon-files-prod/ed/picture/q0ggdzvj/331fc5e77a95b908388998f31360ef1386d18270.png"
"1708072500-10","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=50","Réfrigérateur Astech 3 tiroir
Neuf
Médina,
Dakar

15. nov. '23, 13:18

255 000 F Cfa

280 000 F Cfa

Économisez 8.9%

782595692

771179601

338426838","https://www.expat-dakar.com/annonce/refrigerateur-astech-3-tiroir-5937196","Réfrigérateur Astech 3 tiroir","Neuf","Médina

Dakar","255 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b5735f16af69907889e0e9eab5da84fe/-/horizon-files-prod/ed/picture/q8v5kxjx/95dc37db768b9f66ca5b7319eca3ed080c513847.jpg"
"1708072507-11","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=49","CONGELATEUR HORIZONTAL COFFRE 830L FINIX 650 GRIS 2 PORTES
Réconditionné
Plateau,
Dakar

25. janv., 10:47

Vendeur vérifié

340 000 F Cfa

786374400","https://www.expat-dakar.com/annonce/congelateur-horizontal-coffre-830l-finix-650-gris-2-portes-5916505","CONGELATEUR HORIZONTAL COFFRE 830L FINIX 650 GRIS 2 PORTES","Réconditionné","Plateau

Dakar","340 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0b313e6649736274aaa3e806e34f8a5b/-/horizon-files-prod/ed/picture/qngx98pg/c4d5f0248996c946f26adc2d5e156189740b4180.png"
